key,place,geonames_url,gnd_url,lat,lon,source
name:Meldorf,Meldorf,https://www.geonames.org/2872100,,54.09182,9.0687,bestand
https://www.geonames.org/2872100,Meldorf,https://www.geonames.org/2872100,,54.09182,9.0687,bestand
https://d-nb.info/gnd/4040265-4,Moringen,,https://d-nb.info/gnd/4040265-4,51.699159,9.871069,bestand
name:Moringen,Moringen,,https://d-nb.info/gnd/4040265-4,51.699159,9.871069,bestand
name:Münster (Butzbach),Münster (Butzbach),https://www.geonames.org/2867545,,50.39046,8.61663,bestand
https://www.geonames.org/2867545,Münster (Butzbach),https://www.geonames.org/2867545,,50.39046,8.61663,bestand
https://d-nb.info/gnd/4041476-0,Neapel,,https://d-nb.info/gnd/4041476-0,40.833329,14.25,bestand
name:Neapel,Neapel,,https://d-nb.info/gnd/4041476-0,40.833329,14.25,bestand
name:Nennhausen,Nennhausen,https://www.geonames.org/2866523,,52.6,12.5,bestand
https://www.geonames.org/2866523,Nennhausen,https://www.geonames.org/2866523,,52.6,12.5,bestand
https://www.geonames.org/2659496,Neuchâtel,https://www.geonames.org/2659496,,46.99179,6.931,bestand
name:Neuchâtel,Neuchâtel,https://www.geonames.org/2659496,,46.99179,6.931,bestand
https://d-nb.info/gnd/4075303-7,Neuenburg (Schweiz),,https://d-nb.info/gnd/4075303-7,46.991666,6.930833,bestand
name:Neuenburg (Schweiz),Neuenburg (Schweiz),,https://d-nb.info/gnd/4075303-7,46.991666,6.930833,bestand
https://www.geonames.org/2864491,Neumühlen,https://www.geonames.org/2864491,,53.54423,9.91533,bestand
name:Neumühlen,Neumühlen,https://www.geonames.org/2864491,,53.54423,9.91533,bestand
https://www.geonames.org/2864005,Neustrelitz,https://www.geonames.org/2864005,,53.3613,13.07292,bestand
name:Neustrelitz,Neustrelitz,https://www.geonames.org/2864005,,53.3613,13.07292,bestand
name:Niesky,Niesky,https://www.geonames.org/2862460,,51.29241,14.82107,bestand
https://www.geonames.org/2862460,Niesky,https://www.geonames.org/2862460,,51.29241,14.82107,bestand
https://www.geonames.org/3090967,Nimptsch,https://www.geonames.org/3090967,,50.72007,16.83573,bestand
name:Nimptsch,Nimptsch,https://www.geonames.org/3090967,,50.72007,16.83573,bestand
https://www.geonames.org/2861650,Nürnberg,https://www.geonames.org/2861650,,49.45421,11.07752,bestand
name:Nürnberg,Nürnberg,https://www.geonames.org/2861650,,49.45421,11.07752,bestand
https://d-nb.info/gnd/7620972-6,"Oberweimar (Weimar, Lahn)",,https://d-nb.info/gnd/7620972-6,50.756111,8.701111,bestand
"name:Oberweimar (Weimar, Lahn)","Oberweimar (Weimar, Lahn)",,https://d-nb.info/gnd/7620972-6,50.756111,8.701111,bestand
name:Offenbach am Main,Offenbach am Main,https://www.geonames.org/2857807,,50.10061,8.76647,bestand
https://www.geonames.org/2857807,Offenbach am Main,https://www.geonames.org/2857807,,50.10061,8.76647,bestand
https://www.geonames.org/2857458,Oldenburg (Oldenburg),https://www.geonames.org/2857458,,53.14118,8.21467,bestand
name:Oldenburg (Oldenburg),Oldenburg (Oldenburg),https://www.geonames.org/2857458,,53.14118,8.21467,bestand
https://www.geonames.org/2857182,Oppach,https://www.geonames.org/2857182,,51.06667,14.5,bestand
name:Oppach,Oppach,https://www.geonames.org/2857182,,51.06667,14.5,bestand
name:Paris,Paris,https://www.geonames.org/2988507,,48.85341,2.3488,bestand
https://www.geonames.org/2988507,Paris,https://www.geonames.org/2988507,,48.85341,2.3488,bestand
https://www.geonames.org/11258605,Pempelfort,https://www.geonames.org/11258605,,51.23812,6.78678,bestand
name:Pempelfort,Pempelfort,https://www.geonames.org/11258605,,51.23812,6.78678,bestand
https://d-nb.info/gnd/4090357-6,Piercefield House (Chepstow),,https://d-nb.info/gnd/4090357-6,51.65788155,-2.683560899810743,bestand
name:Piercefield House (Chepstow),Piercefield House (Chepstow),,https://d-nb.info/gnd/4090357-6,51.65788155,-2.683560899810743,bestand
name:Pillnitz,Pillnitz,https://www.geonames.org/2853707,,51.0073,13.87565,bestand
https://www.geonames.org/2853707,Pillnitz,https://www.geonames.org/2853707,,51.0073,13.87565,bestand
https://www.geonames.org/2853658,Pinneberg,https://www.geonames.org/2853658,,53.66732,9.78936,bestand
name:Pinneberg,Pinneberg,https://www.geonames.org/2853658,,53.66732,9.78936,bestand
https://www.geonames.org/2853292,Plauen,https://www.geonames.org/2853292,,50.4973,12.13782,bestand
name:Plauen,Plauen,https://www.geonames.org/2853292,,50.4973,12.13782,bestand
name:Pless,Pless,https://www.geonames.org/3087705,,49.98037,18.95382,bestand
https://www.geonames.org/3087705,Pless,https://www.geonames.org/3087705,,49.98037,18.95382,bestand
name:Plugawice,Plugawice,,,51.4088317,18.1904259,bestand
https://www.geonames.org/2852458,Potsdam,https://www.geonames.org/2852458,,52.39886,13.06566,bestand
name:Potsdam,Potsdam,https://www.geonames.org/2852458,,52.39886,13.06566,bestand
https://www.geonames.org/2852218,Prenzlau,https://www.geonames.org/2852218,,53.31625,13.86261,bestand
name:Prenzlau,Prenzlau,https://www.geonames.org/2852218,,53.31625,13.86261,bestand
https://www.geonames.org/2850648,Rammenau,https://www.geonames.org/2850648,,51.15,14.13333,bestand
https://www.geonames.org/2851719,Rammenau,https://www.geonames.org/2851719,,51.1832,14.01416,bestand
https://www.geonames.org/2850257,Rastatt,https://www.geonames.org/2850257,,48.85851,8.20965,bestand
name:Rastatt,Rastatt,https://www.geonames.org/2850257,,48.85851,8.20965,bestand
https://www.geonames.org/3084093,Reichenbach (Schlesien),https://www.geonames.org/3084093,,50.84378,16.48859,bestand
name:Reichenbach (Schlesien),Reichenbach (Schlesien),https://www.geonames.org/3084093,,50.84378,16.48859,bestand
https://www.geonames.org/456172,Riga,https://www.geonames.org/456172,,56.946,24.10589,bestand
name:Riga,Riga,https://www.geonames.org/456172,,56.946,24.10589,bestand
